BIANCA	10 things i hate about you	f
BRUCE	10 things i hate about you	m
CAMERON	10 things i hate about you	m
CHASTITY	10 things i hate about you	f
JOEY	10 things i hate about you	m
KAT	10 things i hate about you	f
MANDELLA	10 things i hate about you	f
MICHAEL	10 things i hate about you	m
MISS PERKY	10 things i hate about you	f
PATRICK	10 things i hate about you	m
SHARON	10 things i hate about you	f
WALTER	10 things i hate about you	m
ALONSO	1492: conquest of paradise	m
AROJAZ	1492: conquest of paradise	m
BEATRIX	1492: conquest of paradise	f
BOBADILLA	1492: conquest of paradise	m
COLUMBUS	1492: conquest of paradise	m
FERNANDO	1492: conquest of paradise	m
ISABEL	1492: conquest of paradise	f
MARCHENA	1492: conquest of paradise	m
MENDEZ	1492: conquest of paradise	m
MOXICA	1492: conquest of paradise	m
PINZON	1492: conquest of paradise	m
SAILOR	1492: conquest of paradise	?
SANCHEZ	1492: conquest of paradise	m
UTAPAN	1492: conquest of paradise	m
CUTLER	15 minutes	m
DAPHNE	15 minutes	f
DUFFY	15 minutes	m
EDDIE	15 minutes	m
EMIL	15 minutes	m
HAWKINS	15 minutes	m
HONEY	15 minutes	f
IMMIGRATION OFFICER	15 minutes	m
JORDY	15 minutes	m
KORFIN	15 minutes	m
LEON	15 minutes	m
MAGGIE	15 minutes	f
MAX	15 minutes	?
MILOS	15 minutes	m
MUGGER	15 minutes	m
NICOLETTE	15 minutes	f
OLEG	15 minutes	m
ROBERT HAWKINS	15 minutes	m
ROSE	15 minutes	f
SECONDARY OFFICER	15 minutes	m
STEPHEN GELLER	15 minutes	m
TOMMY	15 minutes	m
VENDOR	15 minutes	m
B20	2001: a space odyssey	?
BOWMAN	2001: a space odyssey	m
C12	2001: a space odyssey	?
CHILD	2001: a space odyssey	?
CO-PILOT	2001: a space odyssey	?
ELENA	2001: a space odyssey	f
FLOYD	2001: a space odyssey	m
HAL	2001: a space odyssey	m
MICHAELS	2001: a space odyssey	m
MILLER	2001: a space odyssey	m
PILOT	2001: a space odyssey	?
POOLE	2001: a space odyssey	m
SMYSLOV	2001: a space odyssey	m
ATTENDANT	48 hrs.	f
BARTENDER	48 hrs.	m
BILLY	48 hrs.	m
CANDY	48 hrs.	f
CASEY	48 hrs.	f
CATES	48 hrs.	m
ELAINE	48 hrs.	f
GANZ	48 hrs.	m
HADEN	48 hrs.	m
HAMMOND	48 hrs.	m
HENRY	48 hrs.	m
KEHOE	48 hrs.	m
LISA	48 hrs.	f
LUTHER	48 hrs.	m
SOSNA	48 hrs.	f
YOUNG COP	48 hrs.	m
CORNELIUS	the fifth element	m
DAVID	the fifth element	m
DIVA	the fifth element	f
FINGER	the fifth element	m
GIRL	the fifth element	f
KOMMANDER	the fifth element	m
KORBEN	the fifth element	m
LEELOO	the fifth element	f
LOC RHOD	the fifth element	?
MACTILBURGH	the fifth element	m
MOTHER	the fifth element	f
MUGGER	the fifth element	m
MUNRO	the fifth element	m
PRESIDENT	the fifth element	m
PRIEST	the fifth element	m
PROFESSOR	the fifth element	m
SECRETARY	the fifth element	f
SHADOW	the fifth element	?
STAEDERT	the fifth element	?
THAI	the fifth element	m
VOICE	the fifth element	?
ZORG	the fifth element	m
AMY	8mm	f
ANGRY DEALER	8mm	m
DINO	8mm	m
DINO VELVET	8mm	m
DIRECTOR	8mm	?
EDDIE	8mm	m
LONGDALE	8mm	m
MALE VOICE	8mm	?
MAX	8mm	m
MRS CHRISTIAN	8mm	m
MRS MATHEWS	8mm	m
NUN	8mm	f
POLITICIAN	8mm	?
SALESPERSON	8mm	?
WELLES	8mm	m
ALICE	a nightmare on elm street 4: the dream master	f
DAN	a nightmare on elm street 4: the dream master	m
DEBBIE	a nightmare on elm street 4: the dream master	f
ELAINE	a nightmare on elm street 4: the dream master	f
KRISTEN	a nightmare on elm street 4: the dream master	f
NURSE	a nightmare on elm street 4: the dream master	f
RICK	a nightmare on elm street 4: the dream master	m
SHEILA	a nightmare on elm street 4: the dream master	m
ALICE	a nightmare on elm street: the dream child	f
ALICE'S DAD	a nightmare on elm street: the dream child	m
DAN	a nightmare on elm street: the dream child	m
GRETA	a nightmare on elm street: the dream child	f
JACOB	a nightmare on elm street: the dream child	m
MARK	a nightmare on elm street: the dream child	m
MRS. JORDAN	a nightmare on elm street: the dream child	m
YVONNE	a nightmare on elm street: the dream child	f
CARL	the atomic submarine	m
DAVE	the atomic submarine	m
GRIFF	the atomic submarine	m
KENT	the atomic submarine	m
REEF	the atomic submarine	m
SAUCER VOICE	the atomic submarine	?
SIR IAN	the atomic submarine	m
WENDOVER	the atomic submarine	m
ALMA	affliction	f
CHICK	affliction	f
HAND	affliction	m
JACK	affliction	m
JILL	affliction	m
LARIVIERE	affliction	m
LILLIAN	affliction	f
LUGENE	affliction	f
MARGIE	affliction	f
MEL GORDON	affliction	f
MRS. GORDON	affliction	m
NICK	affliction	m
